id,n_of_groups,gym,health,food,active,unhealthy,no_group,gym_time,health_time,active_time,food_time,unhealthy_time
39,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
40,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
41,5.0,False,False,True,False,False,False,-1,-1,11,-1,-1
42,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
43,5.0,False,False,False,True,True,False,-1,-1,-1,10,8
44,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
45,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
46,2.0,False,False,False,True,False,False,-1,-1,-1,10,-1
47,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
48,5.0,False,False,True,False,False,False,-1,-1,10,-1,-1
49,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
50,6.0,False,False,True,True,False,False,-1,-1,14,10,-1
51,6.0,False,False,False,True,False,False,-1,-1,-1,10,-1
52,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
53,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
54,3.0,False,False,False,True,False,False,-1,-1,-1,9,-1
55,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
56,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
57,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
58,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
59,6.0,False,True,False,False,False,False,-1,10,-1,-1,-1
60,9.0,True,True,False,True,False,False,11,10,-1,11,-1
61,3.0,True,False,False,False,False,False,9,-1,-1,-1,-1
62,8.0,True,False,False,True,False,False,11,-1,-1,9,-1
63,6.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
64,3.0,False,False,False,True,False,False,-1,-1,-1,10,-1
65,7.0,True,False,False,True,False,False,11,-1,-1,12,-1
66,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
67,4.0,False,False,True,True,False,False,-1,-1,9,9,-1
68,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
69,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
70,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
71,3.0,False,True,False,True,False,False,-1,12,-1,9,-1
72,2.0,False,False,False,True,False,False,-1,-1,-1,11,-1
73,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
74,8.0,True,True,False,True,False,False,8,9,-1,11,-1
75,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
76,5.0,True,True,True,True,False,False,12,12,11,9,-1
77,3.0,False,False,True,False,False,False,-1,-1,9,-1,-1
78,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
79,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
80,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
81,4.0,False,False,True,False,False,False,-1,-1,11,-1,-1
82,2.0,True,False,False,True,False,False,9,-1,-1,9,-1
83,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
84,3.0,False,False,True,True,False,False,-1,-1,10,12,-1
85,6.0,True,True,False,False,False,False,7,8,-1,-1,-1
86,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
87,9.0,True,True,False,True,False,False,12,13,-1,10,-1
88,6.0,False,False,False,True,False,False,-1,-1,-1,10,-1
89,3.0,False,False,False,True,False,False,-1,-1,-1,12,-1
90,7.0,True,False,False,False,False,False,11,-1,-1,-1,-1
91,5.0,True,False,False,True,False,False,9,-1,-1,13,-1
92,5.0,False,False,False,True,False,False,-1,-1,-1,12,-1
93,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
94,7.0,False,False,False,True,False,False,-1,-1,-1,11,-1
95,6.0,False,False,True,True,False,False,-1,-1,10,8,-1
96,5.0,False,False,False,True,False,False,-1,-1,-1,9,-1
97,5.0,False,False,False,True,False,False,-1,-1,-1,10,-1
98,5.0,True,False,False,True,False,False,11,-1,-1,14,-1
99,4.0,False,True,False,False,False,False,-1,11,-1,-1,-1
100,5.0,False,True,False,False,False,False,-1,10,-1,-1,-1
101,6.0,True,True,False,False,False,False,12,8,-1,-1,-1
102,5.0,False,False,False,True,False,False,-1,-1,-1,10,-1
103,0.0,,,,,,True,-1,-1,-1,-1,-1
104,10.0,False,True,True,True,False,False,-1,8,11,12,-1
105,3.0,False,False,True,True,False,False,-1,-1,10,11,-1
106,3.0,True,False,False,False,False,False,10,-1,-1,-1,-1
107,6.0,False,False,True,True,False,False,-1,-1,11,13,-1
108,6.0,False,True,False,True,True,False,-1,11,-1,12,11
109,8.0,True,True,False,True,False,False,12,10,-1,10,-1
110,3.0,True,False,False,False,False,False,10,-1,-1,-1,-1
111,3.0,False,False,False,True,False,False,-1,-1,-1,10,-1
112,6.0,True,False,False,False,False,False,9,-1,-1,-1,-1
113,5.0,False,False,True,True,False,False,-1,-1,11,13,-1
114,4.0,False,True,False,False,False,False,-1,11,-1,-1,-1
115,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
116,6.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
117,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
118,2.0,False,False,False,False,True,False,-1,-1,-1,-1,9
119,6.0,False,True,True,True,False,False,-1,9,10,11,-1
120,4.0,False,False,False,True,False,False,-1,-1,-1,12,-1
121,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
122,6.0,False,True,True,True,False,False,-1,9,13,12,-1
123,3.0,True,False,False,True,False,False,9,-1,-1,9,-1
124,6.0,True,True,False,False,False,False,10,11,-1,-1,-1
125,4.0,False,False,False,True,False,False,-1,-1,-1,10,-1
126,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
127,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
128,4.0,False,False,True,False,True,False,-1,-1,11,-1,10
129,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
130,4.0,False,False,True,True,True,False,-1,-1,9,10,9
131,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
132,5.0,False,False,False,True,False,False,-1,-1,-1,12,-1
133,0.0,,,,,,True,-1,-1,-1,-1,-1
134,6.0,False,False,False,True,False,False,-1,-1,-1,12,-1
135,3.0,False,True,False,False,False,False,-1,12,-1,-1,-1
136,6.0,False,False,False,True,False,False,-1,-1,-1,11,-1
137,4.0,False,True,True,True,False,False,-1,9,9,10,-1
138,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
139,3.0,False,False,False,True,False,False,-1,-1,-1,10,-1
140,7.0,True,True,False,False,False,False,11,11,-1,-1,-1
141,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
142,5.0,True,True,False,True,False,False,9,13,-1,11,-1
143,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
144,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
145,2.0,False,False,True,False,False,False,-1,-1,14,-1,-1
146,5.0,True,True,False,False,False,False,10,11,-1,-1,-1
147,6.0,False,False,True,True,False,False,-1,-1,8,12,-1
148,6.0,False,True,False,False,False,False,-1,10,-1,-1,-1
149,6.0,False,True,False,False,True,False,-1,11,-1,-1,10
150,6.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
151,5.0,False,False,True,True,False,False,-1,-1,7,13,-1
152,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
153,6.0,True,False,False,False,False,False,13,-1,-1,-1,-1
154,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
155,5.0,True,True,False,False,False,False,11,9,-1,-1,-1
156,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
157,6.0,True,True,False,True,False,False,11,9,-1,11,-1
158,1.0,False,False,False,True,False,False,-1,-1,-1,11,-1
159,4.0,False,True,False,False,False,False,-1,12,-1,-1,-1
160,2.0,False,False,True,False,False,False,-1,-1,10,-1,-1
161,0.0,,,,,,True,-1,-1,-1,-1,-1
162,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
163,5.0,False,False,True,False,False,False,-1,-1,10,-1,-1
164,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
165,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
166,6.0,True,True,False,False,False,False,10,11,-1,-1,-1
167,6.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
168,2.0,False,False,False,True,False,False,-1,-1,-1,7,-1
169,6.0,False,True,False,False,False,False,-1,10,-1,-1,-1
170,3.0,False,False,True,False,False,False,-1,-1,10,-1,-1
171,4.0,True,False,False,True,False,False,7,-1,-1,12,-1
172,6.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
173,3.0,False,False,False,True,False,False,-1,-1,-1,11,-1
174,7.0,False,False,True,True,False,False,-1,-1,8,10,-1
175,4.0,False,False,True,True,False,False,-1,-1,10,9,-1
176,5.0,False,True,False,True,False,False,-1,11,-1,10,-1
177,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
178,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
179,5.0,False,True,False,True,False,False,-1,10,-1,10,-1
180,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
181,4.0,False,True,False,True,False,False,-1,13,-1,11,-1
182,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
183,4.0,False,False,False,True,False,False,-1,-1,-1,10,-1
184,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
185,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
186,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
187,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
188,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
189,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
190,2.0,False,False,False,True,False,False,-1,-1,-1,11,-1
191,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
192,5.0,True,False,False,False,False,False,10,-1,-1,-1,-1
193,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
194,3.0,False,False,False,True,False,False,-1,-1,-1,12,-1
195,4.0,False,False,False,True,False,False,-1,-1,-1,12,-1
196,5.0,False,False,True,True,False,False,-1,-1,10,10,-1
197,1.0,False,False,False,True,False,False,-1,-1,-1,10,-1
198,3.0,False,False,True,False,False,False,-1,-1,10,-1,-1
199,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
200,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
201,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
202,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
203,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
204,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
205,3.0,False,False,True,False,True,False,-1,-1,11,-1,11
206,7.0,True,False,False,False,False,False,11,-1,-1,-1,-1
207,6.0,True,False,False,False,False,False,11,-1,-1,-1,-1
208,4.0,True,False,False,False,False,False,12,-1,-1,-1,-1
209,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
210,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
211,3.0,False,False,False,True,False,False,-1,-1,-1,12,-1
212,5.0,False,True,False,True,False,False,-1,7,-1,11,-1
213,7.0,True,True,False,False,False,False,10,11,-1,-1,-1
214,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
215,3.0,False,False,True,False,False,False,-1,-1,11,-1,-1
216,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
217,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
218,9.0,True,True,False,True,False,False,9,12,-1,10,-1
219,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
220,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
221,6.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
222,7.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
223,5.0,False,False,True,True,False,False,-1,-1,9,10,-1
224,7.0,False,True,False,True,False,False,-1,9,-1,10,-1
225,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
226,5.0,True,False,False,True,False,False,10,-1,-1,10,-1
227,6.0,False,False,True,True,False,False,-1,-1,12,10,-1
228,5.0,False,True,False,True,False,False,-1,8,-1,13,-1
229,3.0,True,True,False,False,False,False,9,10,-1,-1,-1
230,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
231,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
232,5.0,False,False,True,True,False,False,-1,-1,11,8,-1
233,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
234,4.0,False,True,False,True,False,False,-1,11,-1,12,-1
235,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
236,3.0,True,True,False,False,False,False,9,8,-1,-1,-1
237,4.0,False,False,True,False,False,False,-1,-1,11,-1,-1
238,3.0,False,False,False,True,False,False,-1,-1,-1,11,-1
239,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
240,3.0,False,False,False,True,False,False,-1,-1,-1,10,-1
241,5.0,False,True,False,True,False,False,-1,10,-1,10,-1
242,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
243,9.0,False,True,False,True,False,False,-1,10,-1,9,-1
244,5.0,False,False,False,True,False,False,-1,-1,-1,9,-1
245,5.0,True,False,False,False,False,False,10,-1,-1,-1,-1
246,1.0,False,True,False,False,False,False,-1,11,-1,-1,-1
247,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
248,5.0,False,False,False,True,False,False,-1,-1,-1,11,-1
249,3.0,False,False,False,True,False,False,-1,-1,-1,10,-1
250,7.0,False,False,True,True,False,False,-1,-1,11,10,-1
251,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
252,7.0,True,False,True,True,True,False,12,-1,10,10,10
253,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
254,6.0,False,False,True,True,False,False,-1,-1,11,14,-1
255,4.0,False,False,False,True,False,False,-1,-1,-1,12,-1
256,5.0,True,False,False,False,False,False,10,-1,-1,-1,-1
257,5.0,True,False,False,True,False,False,10,-1,-1,8,-1
258,5.0,True,True,False,True,False,False,9,10,-1,12,-1
259,3.0,False,False,True,False,False,False,-1,-1,10,-1,-1
260,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
261,4.0,True,True,True,False,False,False,11,14,12,-1,-1
262,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
263,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
264,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
265,6.0,False,True,False,False,False,False,-1,11,-1,-1,-1
266,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
267,4.0,False,False,False,True,False,False,-1,-1,-1,13,-1
268,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
269,6.0,False,False,True,False,False,False,-1,-1,10,-1,-1
270,5.0,False,True,False,False,False,False,-1,10,-1,-1,-1
271,3.0,False,False,True,False,False,False,-1,-1,10,-1,-1
272,6.0,True,False,False,False,False,False,10,-1,-1,-1,-1
273,2.0,False,False,False,True,False,False,-1,-1,-1,11,-1
274,4.0,False,False,False,True,False,False,-1,-1,-1,12,-1
275,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
276,3.0,False,False,False,True,False,False,-1,-1,-1,11,-1
277,2.0,False,False,False,True,False,False,-1,-1,-1,9,-1
278,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
279,4.0,False,True,False,True,False,False,-1,9,-1,12,-1
280,5.0,False,False,True,False,True,False,-1,-1,11,-1,11
281,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
282,6.0,False,False,False,False,True,False,-1,-1,-1,-1,9
283,7.0,False,True,False,False,False,False,-1,12,-1,-1,-1
284,4.0,False,False,True,False,False,False,-1,-1,12,-1,-1
285,4.0,False,True,False,False,False,False,-1,12,-1,-1,-1
286,5.0,True,True,False,False,False,False,12,12,-1,-1,-1
287,4.0,False,True,False,False,False,False,-1,11,-1,-1,-1
288,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
289,6.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
290,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
291,4.0,True,False,False,False,False,False,8,-1,-1,-1,-1
292,3.0,False,True,False,False,False,False,-1,10,-1,-1,-1
293,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
294,3.0,False,False,True,True,True,False,-1,-1,12,10,12
295,3.0,False,False,True,False,False,False,-1,-1,12,-1,-1
296,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
297,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
298,4.0,False,False,False,False,True,False,-1,-1,-1,-1,10
299,4.0,False,False,False,True,False,False,-1,-1,-1,12,-1
300,3.0,False,True,True,False,False,False,-1,10,9,-1,-1
301,3.0,True,True,False,False,False,False,11,11,-1,-1,-1
302,0.0,,,,,,True,-1,-1,-1,-1,-1
303,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
304,6.0,True,False,False,False,False,False,11,-1,-1,-1,-1
305,2.0,False,False,True,False,False,False,-1,-1,9,-1,-1
306,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
307,5.0,True,True,False,True,False,False,12,10,-1,13,-1
308,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
309,4.0,True,False,True,False,False,False,10,-1,11,-1,-1
310,6.0,False,False,False,True,False,False,-1,-1,-1,10,-1
311,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
312,4.0,False,False,False,True,False,False,-1,-1,-1,10,-1
313,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
314,5.0,False,False,False,True,False,False,-1,-1,-1,10,-1
315,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
316,1.0,False,False,False,True,False,False,-1,-1,-1,9,-1
317,3.0,True,False,False,True,False,False,10,-1,-1,11,-1
318,5.0,True,False,False,True,False,False,10,-1,-1,11,-1
319,4.0,False,False,False,True,False,False,-1,-1,-1,10,-1
320,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
321,5.0,False,False,False,True,False,False,-1,-1,-1,12,-1
322,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
323,5.0,False,False,True,True,False,False,-1,-1,10,11,-1
324,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
325,5.0,False,False,False,True,False,False,-1,-1,-1,10,-1
326,3.0,False,False,False,True,False,False,-1,-1,-1,10,-1
327,3.0,False,False,False,True,False,False,-1,-1,-1,13,-1
328,3.0,False,False,False,True,False,False,-1,-1,-1,8,-1
329,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
330,4.0,False,False,True,False,True,False,-1,-1,12,-1,12
331,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
332,3.0,False,False,False,True,False,False,-1,-1,-1,10,-1
333,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
334,6.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
335,3.0,False,False,False,True,False,False,-1,-1,-1,11,-1
336,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
337,3.0,False,False,False,True,False,False,-1,-1,-1,11,-1
338,6.0,False,False,True,False,True,False,-1,-1,9,-1,9
339,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
340,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
341,7.0,False,True,True,True,False,False,-1,11,7,11,-1
342,5.0,False,False,False,True,False,False,-1,-1,-1,11,-1
343,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
344,8.0,True,True,False,True,False,False,12,10,-1,10,-1
345,3.0,False,False,True,False,False,False,-1,-1,10,-1,-1
346,5.0,True,False,True,False,False,False,11,-1,13,-1,-1
347,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
348,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
349,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
350,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
351,5.0,False,True,False,False,False,False,-1,9,-1,-1,-1
352,4.0,False,True,False,True,False,False,-1,12,-1,11,-1
353,4.0,False,False,False,True,False,False,-1,-1,-1,10,-1
354,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
355,3.0,False,False,True,True,False,False,-1,-1,10,12,-1
356,3.0,False,False,False,True,False,False,-1,-1,-1,9,-1
357,5.0,False,False,False,True,False,False,-1,-1,-1,10,-1
358,6.0,False,True,False,True,False,False,-1,11,-1,10,-1
359,3.0,False,False,False,True,False,False,-1,-1,-1,10,-1
360,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
361,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
362,7.0,False,False,False,True,False,False,-1,-1,-1,11,-1
363,4.0,False,False,True,True,False,False,-1,-1,12,12,-1
364,4.0,False,False,True,False,False,False,-1,-1,8,-1,-1
365,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
366,3.0,False,False,True,False,False,False,-1,-1,10,-1,-1
367,6.0,False,False,False,True,False,False,-1,-1,-1,9,-1
368,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
369,5.0,False,False,False,True,False,False,-1,-1,-1,11,-1
370,4.0,False,False,False,True,False,False,-1,-1,-1,10,-1
371,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
372,5.0,False,False,True,False,False,False,-1,-1,10,-1,-1
373,3.0,False,True,False,False,False,False,-1,12,-1,-1,-1
374,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
375,6.0,True,True,False,True,False,False,10,13,-1,11,-1
376,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
377,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
378,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
379,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
380,6.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
381,6.0,False,False,False,True,False,False,-1,-1,-1,10,-1
382,3.0,False,True,False,True,False,False,-1,13,-1,10,-1
383,3.0,False,True,False,True,False,False,-1,9,-1,10,-1
384,6.0,True,True,False,True,False,False,11,9,-1,13,-1
385,5.0,False,False,True,True,False,False,-1,-1,10,12,-1
386,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
387,8.0,True,False,False,True,False,False,9,-1,-1,14,-1
388,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
389,3.0,False,False,False,True,False,False,-1,-1,-1,14,-1
390,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
391,7.0,True,True,False,False,False,False,12,12,-1,-1,-1
392,3.0,False,False,False,True,False,False,-1,-1,-1,10,-1
393,7.0,False,True,False,True,False,False,-1,10,-1,8,-1
394,3.0,True,False,False,False,False,False,12,-1,-1,-1,-1
395,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
396,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
397,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
398,5.0,False,True,False,False,False,False,-1,10,-1,-1,-1
399,7.0,False,False,True,True,False,False,-1,-1,11,12,-1
400,5.0,False,False,True,False,True,False,-1,-1,12,-1,10
401,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
402,5.0,True,False,False,False,False,False,12,-1,-1,-1,-1
403,5.0,False,False,False,True,False,False,-1,-1,-1,10,-1
404,5.0,False,False,False,True,False,False,-1,-1,-1,8,-1
405,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
406,6.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
407,4.0,False,True,False,True,False,False,-1,11,-1,13,-1
408,4.0,False,True,False,False,False,False,-1,9,-1,-1,-1
409,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
410,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
411,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
412,5.0,False,False,False,True,False,False,-1,-1,-1,13,-1
413,4.0,False,False,False,True,False,False,-1,-1,-1,10,-1
414,4.0,False,False,False,True,False,False,-1,-1,-1,11,-1
415,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
416,3.0,False,False,True,False,False,False,-1,-1,13,-1,-1
417,5.0,False,True,False,False,False,False,-1,10,-1,-1,-1
418,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
419,6.0,False,True,True,False,False,False,-1,10,11,-1,-1
420,6.0,True,True,False,False,False,False,8,12,-1,-1,-1
421,3.0,False,True,False,True,False,False,-1,7,-1,11,-1
422,8.0,False,True,True,True,True,False,-1,9,10,10,10
423,4.0,True,False,True,True,False,False,9,-1,11,9,-1
424,6.0,True,True,False,True,False,False,10,10,-1,9,-1
425,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
426,5.0,False,True,True,False,False,False,-1,10,12,-1,-1
427,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
428,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
429,4.0,False,False,False,True,False,False,-1,-1,-1,11,-1
430,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
431,4.0,True,False,False,True,False,False,12,-1,-1,10,-1
432,7.0,False,False,False,True,False,False,-1,-1,-1,12,-1
433,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
